song,artist,bpm,energy,valence,instrumentalness,danceability
Deep Thought 259,Piano Study,58,0.17,0.43,0.96,0.38
Night Reading 260,LoFi Study,68,0.19,0.45,1.0,0.43
Coding Flow 261,Tech Beats,110,0.72,0.62,0.05,0.75
Idea Spark 262,Creative Studio,95,0.69,0.68,0.19,0.79
Creative Pulse 263,Beat Maker,92,0.6,0.74,0.28,0.84
Morning Energy 264,Active Beats,124,0.77,0.71,0.04,0.8
Night Reading 265,LoFi Study,69,0.18,0.49,0.96,0.49
Coding Flow 266,Tech Beats,104,0.71,0.69,0.12,0.76
Morning Energy 267,Active Beats,116,0.82,0.79,0.04,0.86
Silent Focus 268,Study Lab,71,0.22,0.33,0.98,0.47
Dreamscape 269,LoFi Beats,71,0.2,0.45,0.98,0.56
Coding Flow 270,Tech Beats,102,0.69,0.69,0.11,0.77
Silent Focus 271,Study Lab,73,0.19,0.38,0.96,0.5
Creative Pulse 272,Beat Maker,92,0.58,0.71,0.26,0.78
Brain Power 273,Focus Lab,83,0.59,0.56,0.21,0.67
Idea Spark 274,Creative Studio,103,0.64,0.75,0.15,0.77
Silent Focus 275,Study Lab,64,0.19,0.39,0.95,0.47
Morning Energy 276,Active Beats,125,0.83,0.77,0.03,0.83
Morning Energy 277,Active Beats,115,0.78,0.78,0.0,0.88
Morning Energy 278,Active Beats,120,0.81,0.76,0.06,0.82
Brain Power 279,Focus Lab,90,0.56,0.56,0.18,0.62
Brain Power 280,Focus Lab,88,0.56,0.58,0.16,0.65
Creative Pulse 281,Beat Maker,90,0.56,0.71,0.33,0.83
Brain Power 282,Focus Lab,81,0.53,0.59,0.24,0.62
Morning Energy 283,Active Beats,119,0.75,0.76,0.09,0.82
Morning Energy 284,Active Beats,120,0.77,0.77,0.09,0.84
Idea Spark 285,Creative Studio,102,0.67,0.76,0.18,0.79
Coding Flow 286,Tech Beats,106,0.73,0.63,0.1,0.78
Night Reading 287,LoFi Study,70,0.21,0.47,0.93,0.53
Creative Pulse 288,Beat Maker,95,0.64,0.7,0.29,0.76
Silent Focus 289,Study Lab,63,0.16,0.36,0.94,0.54
Creative Pulse 290,Beat Maker,94,0.59,0.71,0.29,0.84
Silent Focus 291,Study Lab,72,0.17,0.35,0.96,0.54
Deep Thought 292,Piano Study,62,0.22,0.42,1.0,0.37
Brain Power 293,Focus Lab,82,0.52,0.57,0.19,0.68
Morning Energy 294,Active Beats,125,0.79,0.79,0.09,0.87
Brain Power 295,Focus Lab,82,0.58,0.56,0.2,0.67
Calm Ocean 296,Relax Sound,56,0.16,0.48,0.95,0.38
Creative Pulse 297,Beat Maker,94,0.64,0.69,0.35,0.84
Coding Flow 298,Tech Beats,109,0.72,0.67,0.07,0.73
Creative Pulse 299,Beat Maker,98,0.64,0.7,0.28,0.77
Morning Energy 300,Active Beats,125,0.79,0.77,0.05,0.84
Dreamscape 301,LoFi Beats,71,0.22,0.35,0.99,0.55
Morning Energy 302,Active Beats,122,0.77,0.76,0.03,0.82
Idea Spark 303,Creative Studio,101,0.72,0.7,0.12,0.82
Creative Pulse 304,Beat Maker,95,0.62,0.68,0.33,0.78
Night Reading 305,LoFi Study,69,0.26,0.45,0.99,0.52
Calm Ocean 306,Relax Sound,60,0.16,0.55,0.94,0.42
Brain Power 307,Focus Lab,80,0.52,0.65,0.18,0.65
Deep Thought 308,Piano Study,57,0.22,0.45,0.99,0.37
Creative Pulse 309,Beat Maker,93,0.59,0.69,0.35,0.77
Deep Thought 310,Piano Study,58,0.19,0.41,1.0,0.36
Silent Focus 311,Study Lab,63,0.19,0.34,0.96,0.53
Silent Focus 312,Study Lab,68,0.2,0.37,0.98,0.49
Night Reading 313,LoFi Study,67,0.22,0.46,0.99,0.48
Deep Thought 314,Piano Study,61,0.17,0.41,1.0,0.38
Silent Focus 315,Study Lab,70,0.21,0.31,0.95,0.46
Calm Ocean 316,Relax Sound,62,0.15,0.51,0.94,0.37
Calm Ocean 317,Relax Sound,64,0.1,0.54,0.94,0.4
Deep Thought 318,Piano Study,61,0.23,0.39,1.0,0.4
Dreamscape 319,LoFi Beats,76,0.25,0.39,0.91,0.52
Silent Focus 320,Study Lab,66,0.15,0.35,1.0,0.46
Deep Thought 321,Piano Study,54,0.21,0.37,1.0,0.34
Brain Power 322,Focus Lab,88,0.59,0.57,0.21,0.69
Idea Spark 323,Creative Studio,97,0.71,0.75,0.11,0.73
Creative Pulse 324,Beat Maker,93,0.6,0.66,0.35,0.81
Night Reading 325,LoFi Study,69,0.24,0.47,0.98,0.47
Brain Power 326,Focus Lab,84,0.58,0.63,0.17,0.65
Dreamscape 327,LoFi Beats,74,0.26,0.37,0.93,0.6
Silent Focus 328,Study Lab,72,0.25,0.35,0.99,0.52
Brain Power 329,Focus Lab,84,0.5,0.65,0.24,0.66
Coding Flow 330,Tech Beats,100,0.68,0.69,0.08,0.72
Idea Spark 331,Creative Studio,100,0.71,0.74,0.12,0.78
Dreamscape 332,LoFi Beats,73,0.22,0.37,0.93,0.52
Creative Pulse 333,Beat Maker,90,0.62,0.68,0.34,0.75
Coding Flow 334,Tech Beats,108,0.71,0.66,0.08,0.76
Deep Thought 335,Piano Study,57,0.21,0.38,0.97,0.43
Calm Ocean 336,Relax Sound,59,0.13,0.49,1.0,0.44
Idea Spark 337,Creative Studio,97,0.64,0.69,0.11,0.73
Dreamscape 338,LoFi Beats,73,0.24,0.43,0.94,0.58
Brain Power 339,Focus Lab,82,0.57,0.62,0.18,0.67
Creative Pulse 340,Beat Maker,96,0.57,0.69,0.26,0.78
Brain Power 341,Focus Lab,82,0.51,0.56,0.19,0.69
Coding Flow 342,Tech Beats,104,0.69,0.69,0.06,0.77
Night Reading 343,LoFi Study,67,0.18,0.44,1.0,0.47
Idea Spark 344,Creative Studio,105,0.71,0.69,0.19,0.81
Deep Thought 345,Piano Study,59,0.17,0.47,1.0,0.36
Idea Spark 346,Creative Studio,97,0.67,0.74,0.19,0.75
Night Reading 347,LoFi Study,64,0.19,0.42,0.96,0.44
Deep Thought 348,Piano Study,60,0.17,0.45,0.98,0.38
Calm Ocean 349,Relax Sound,58,0.2,0.47,0.96,0.35
Dreamscape 350,LoFi Beats,69,0.29,0.44,0.93,0.53
Creative Pulse 351,Beat Maker,98,0.61,0.7,0.29,0.81
Brain Power 352,Focus Lab,87,0.54,0.63,0.16,0.7
Creative Pulse 353,Beat Maker,96,0.63,0.65,0.3,0.82
Brain Power 354,Focus Lab,89,0.58,0.56,0.22,0.61
Deep Thought 355,Piano Study,57,0.23,0.42,0.96,0.42
Morning Energy 356,Active Beats,117,0.77,0.71,0.01,0.81
Dreamscape 357,LoFi Beats,70,0.29,0.45,0.94,0.52
Dreamscape 358,LoFi Beats,69,0.21,0.41,0.96,0.53
Idea Spark 359,Creative Studio,102,0.68,0.76,0.18,0.75
Coding Flow 360,Tech Beats,105,0.73,0.7,0.15,0.79
Idea Spark 361,Creative Studio,97,0.7,0.7,0.17,0.74
Night Reading 362,LoFi Study,65,0.23,0.48,1.0,0.5
Dreamscape 363,LoFi Beats,73,0.28,0.39,0.98,0.58
Night Reading 364,LoFi Study,63,0.18,0.46,0.99,0.47
Coding Flow 365,Tech Beats,110,0.73,0.64,0.1,0.75
Deep Thought 366,Piano Study,60,0.18,0.45,0.95,0.35
Brain Power 367,Focus Lab,85,0.52,0.61,0.22,0.66
Creative Pulse 368,Beat Maker,95,0.59,0.68,0.32,0.76
Dreamscape 369,LoFi Beats,73,0.27,0.39,0.98,0.58
Calm Ocean 370,Relax Sound,64,0.18,0.55,0.95,0.38
Silent Focus 371,Study Lab,67,0.24,0.38,1.0,0.47
Calm Ocean 372,Relax Sound,58,0.2,0.54,0.99,0.45
Silent Focus 373,Study Lab,68,0.2,0.34,1.0,0.46
Coding Flow 374,Tech Beats,109,0.67,0.64,0.13,0.77
Coding Flow 375,Tech Beats,107,0.66,0.62,0.11,0.77
Dreamscape 376,LoFi Beats,67,0.28,0.42,0.99,0.58
Dreamscape 377,LoFi Beats,71,0.26,0.36,0.91,0.5
Calm Ocean 378,Relax Sound,61,0.17,0.5,1.0,0.43
Coding Flow 379,Tech Beats,101,0.65,0.65,0.08,0.76
Night Reading 380,LoFi Study,67,0.18,0.41,0.97,0.47
Coding Flow 381,Tech Beats,103,0.69,0.6,0.08,0.71
Idea Spark 382,Creative Studio,103,0.71,0.75,0.18,0.73
Deep Thought 383,Piano Study,57,0.15,0.43,0.96,0.39
Creative Pulse 384,Beat Maker,96,0.61,0.7,0.3,0.83
Dreamscape 385,LoFi Beats,71,0.23,0.37,0.97,0.59
Dreamscape 386,LoFi Beats,77,0.23,0.42,0.9,0.51
Dreamscape 387,LoFi Beats,73,0.21,0.38,0.94,0.54
Dreamscape 388,LoFi Beats,75,0.27,0.38,0.96,0.55
Brain Power 389,Focus Lab,87,0.52,0.61,0.25,0.61
Dreamscape 390,LoFi Beats,71,0.27,0.39,1.0,0.57
Dreamscape 391,LoFi Beats,74,0.21,0.36,0.96,0.6
Dreamscape 392,LoFi Beats,75,0.21,0.43,0.91,0.52
Deep Thought 393,Piano Study,61,0.15,0.43,0.99,0.33
Calm Ocean 394,Relax Sound,60,0.16,0.49,1.0,0.43
Calm Ocean 395,Relax Sound,56,0.1,0.48,0.95,0.42
Calm Ocean 396,Relax Sound,58,0.14,0.54,1.0,0.43
Silent Focus 397,Study Lab,66,0.2,0.35,1.0,0.52
Brain Power 398,Focus Lab,83,0.57,0.6,0.23,0.67
Idea Spark 399,Creative Studio,102,0.66,0.76,0.11,0.82
Deep Thought 400,Piano Study,53,0.2,0.44,0.99,0.36
Morning Energy 401,Active Beats,117,0.8,0.77,0.07,0.87
Calm Ocean 402,Relax Sound,57,0.19,0.52,1.0,0.44
Brain Power 403,Focus Lab,89,0.55,0.57,0.24,0.7
Coding Flow 404,Tech Beats,100,0.66,0.65,0.06,0.79
Coding Flow 405,Tech Beats,110,0.7,0.69,0.09,0.78
Idea Spark 406,Creative Studio,101,0.69,0.7,0.15,0.77
Idea Spark 407,Creative Studio,104,0.66,0.71,0.15,0.77
Morning Energy 408,Active Beats,119,0.77,0.74,0.05,0.84
Calm Ocean 409,Relax Sound,63,0.12,0.52,0.99,0.42
Dreamscape 410,LoFi Beats,73,0.27,0.39,0.93,0.58
Calm Ocean 411,Relax Sound,56,0.17,0.46,1.0,0.36
